0,0.3429367
1,0.45095938
2,0.5031267
3,0.48350728
4,0.39131856
5,0.23960352
6,0.05085039
7,-0.15209591
8,-0.34494746
9,-0.4990806
10,-0.5889078
11,-0.59803474
12,-0.5241339
13,-0.38751572
14,-0.23153225
15,-0.103700384
16,1.0
17,-0.034918934
18,-0.03575012
19,-0.10097262
20,-0.21284461
21,-0.34362158
22,-0.46113628
23,-0.5357751
24,-0.54551
25,-0.48030996
26,-0.34442425
27,-0.15662932
28,0.054471135
29,0.24656737
30,0.36317015
31,0.381204
32,0.33994424
33,1.0
34,0.29634386
35,0.2858678
36,0.31934005
37,0.38964194
38,0.47978628
39,0.56385124
40,0.60939866
41,0.59188366
42,0.5053919
43,0.35780323
44,0.16449022
45,-0.05038464
46,-0.25613284
47,-0.42782354
48,-0.5588752
49,-0.6560715
50,1.0
51,-0.7234438
52,-0.7554595
53,-0.74066573
54,-0.6700562
55,-0.5397799
56,-0.3542323
57,-0.1335808
58,0.093681335
59,0.3019148
60,0.46726108
61,0.56937134
62,0.59480596
63,0.5511093
64,0.48090655
65,0.42331505
66,0.37383455
67,1.0

